"R","Metodo","mu1","mu2","mu3","sigma1","sigma2","sigma3","p1","p2","p3","tempo"
1,"EM",-3.5120272992613,1.7983932077053,6.43539594673097,0.987518501119854,1.90231135264975,0.915620365253602,0.0253866222701973,0.114073918319959,0.860539459409843,0.101711988449097
1,"MCMC",0.66081433347235,5.566516175,6.840474585,2.863227415,0.88079324075,0.63225008925,0.13235619241625,0.32165174528375,0.545992060875,63.7994928359985
2,"EM",1.4652553178982,6.08762955278525,7.09813053458821,3.35420304597389,0.995062939077638,0.415694711238796,0.140077139482218,0.541296748607593,0.318626111910189,0.0627520084381104
2,"MCMC",-0.289344236058375,5.08444419,6.76349033,2.968528786625,1.373541011625,0.711661322125,0.09171719011325,0.2543784347,0.65390437625,77.8160021305084
3,"EM",1.5004578203095,5.9482397042891,7.14031941923995,3.45944688743477,0.793897440428108,0.389456309319999,0.198287397326083,0.499961786617505,0.301750816056412,0.0688998699188232
3,"MCMC",-1.4014500658965,4.141682616875,6.54493606,2.542578584,1.800886075875,0.798505541375,0.092963619285625,0.1979058231,0.709130549625,77.951183795929
4,"EM",0.541114206272238,6.11665870568143,7.12189639364678,2.88311217127834,0.966963120005323,0.442252016193702,0.146646863034508,0.501498554747009,0.351854582218482,0.18649697303772
4,"MCMC",0.30470318924125,5.626603005,6.967088555,2.86976627625,0.906116219125,0.59185503475,0.1408749271625,0.301883145725,0.557241930375,65.9433701038361
5,"EM",1.51901993934352,5.89596316396126,7.01035390767941,2.75397430317025,0.997096753949427,0.419944976412846,0.1555609706553,0.529031204751818,0.315407824592882,0.0232460498809814
5,"MCMC",0.897049549778662,5.35318993875,6.794575665,2.619439793375,1.0376485565,0.612753216375,0.13326680735125,0.3339095940625,0.532823587625,68.8343060016632
6,"EM",0.700405446645947,5.63621800195736,6.9638914167717,2.57132697274896,0.939597139039796,0.530071135523628,0.138428892569469,0.427412644694647,0.434158462735884,0.065654993057251
6,"MCMC",0.411811942965,5.295898665,6.80517459125,2.543397715,0.95972967625,0.631574468875,0.13014640843125,0.3120967172125,0.557756869,56.9154241085052
7,"EM",-4.89362385921727,2.03770010179989,6.485487571655,0.258786831586701,2.57340000367747,0.8956300534847,0.00568759936255364,0.214761148648242,0.779551251989205,0.0170910358428955
7,"MCMC",0.793389623572862,5.25207090125,6.77055035,2.4843999925,0.9904881925,0.68749445975,0.16184076180125,0.24777550205,0.590383737625,60.6941139698029
8,"EM",1.29727138939008,2.19175631109913,6.40030107865845,3.58748056716859,0.249396388408229,0.797454297287989,0.176971584724188,0.0180336155154153,0.804994799760396,0.024540901184082
8,"MCMC",-3.7538809747625,2.785470327125,6.4330771875,2.34090895225,2.158903396125,0.777612251375,0.0424417709795674,0.1648136122625,0.792744620125,92.8649370670319
