"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
1,"EM",4.83870550603511,5.98283553054645,1.26745388168884,0.38798733073185,0.958441305963911,0.0415586940360888,0.0126888751983643
1,"MCMC",4.354074025,5.40179362,1.107783451375,1.147471143875,0.48964590825375,0.510354091435,8.04594111442566
2,"EM",4.76318226782476,4.83826059794797,1.36729122614077,1.36867473381204,0.0055630972161507,0.994436902783849,0.0026099681854248
2,"MCMC",4.09767377125,5.9488150675,1.064801311,0.9096569205,0.5810068121625,0.41899318848875,8.80791306495667
3,"EM",3.7927634865373,5.89689344164458,0.807226578524255,0.808088504059165,0.518997911479126,0.481002088520874,0.023144006729126
3,"MCMC",4.006814895,5.64930556375,1.0096727565,1.005960354625,0.51036087425875,0.4896391250425,9.2604341506958
4,"EM",3.44006497067711,5.48119497239284,0.69465930636099,1.01999456734827,0.228704517964123,0.771295482035877,0.0150179862976074
4,"MCMC",4.27373200375,5.61231731125,1.0951877375,1.047284261,0.47781297348125,0.52218702768375,8.56974196434021
5,"EM",2.86226433694495,5.28526399458568,0.0305195326267374,1.36119659407057,0.0428466239798291,0.957153376020171,0.013218879699707
5,"MCMC",4.56272475,5.72847935875,1.254028605125,1.25708205275,0.4922593918125,0.50774060855875,10.2798459529877
6,"EM",4.7085859410509,5.4892451485982,1.34623237932933,0.00731051991992511,0.969757379888757,0.0302426201112434,0.00602102279663086
6,"MCMC",4.1279052375,5.26751494125,1.248486939125,1.13041854375,0.4932179777825,0.50678202188125,8.9834041595459
7,"EM",4.4650658813073,6.04974120420731,0.935417625314796,0.733273819005807,0.696861483104108,0.303138516895892,0.105297803878784
7,"MCMC",4.48780396125,5.44837788125,1.0265479195,1.018010869,0.51211159908375,0.48788840086125,9.06632208824158
8,"EM",4.21872572164579,6.59676216488899,1.20814430327777,0.653185006175274,0.59003522647872,0.40996477352128,0.0176689624786377
8,"MCMC",4.20565554375,6.4160864125,1.252814801,0.792210677625,0.5602389285875,0.4397610713625,7.51571917533875
9,"EM",4.74075640149724,6.03238894345715,1.34050058248371,0.261403065040629,0.879456054589199,0.120543945410801,0.0111320018768311
9,"MCMC",4.25985853625,5.47301017625,1.30254202225,1.010038722375,0.4973001407925,0.502699859675,11.3196148872375
10,"EM",4.36350264019673,6.25624086953029,1.06684364435563,0.881390432114184,0.658334789881413,0.341665210118587,0.113348007202148
10,"MCMC",4.38137476375,5.6477268125,1.15447123475,1.16879902025,0.4977776738025,0.5022223265,8.07686185836792
11,"EM",4.21131288995986,6.16515244447417,0.973470746706592,0.812231915301532,0.641046591407778,0.358953408592222,0.0600919723510742
11,"MCMC",4.27090450875,5.5753221375,1.068132741875,1.129400966,0.493408542,0.50659145852125,9.93795990943909
12,"EM",4.13597248794387,6.5751640380163,1.00197008254362,0.628692606032034,0.675632563625556,0.324367436374444,0.012645959854126
12,"MCMC",4.0504453825,6.22127969,1.011706468875,0.88830776725,0.585643299575,0.414356699925,6.64778995513916
13,"EM",3.84922029926422,4.89396815341696,0.0446249026378684,1.30531321231713,0.0629115550477949,0.937088444952205,0.0446979999542236
13,"MCMC",4.4275666975,5.367200915,1.132513294125,1.2068886035,0.5209468345625,0.47905316551125,7.80763602256775
14,"EM",4.18518396220496,6.60875756334847,1.13113193260884,0.701654863834824,0.663346283301866,0.336653716698134,0.0122299194335938
14,"MCMC",4.16558924875,6.204555025,1.1863726265,0.981385577625,0.57800316571375,0.4219968342,9.00222706794739
15,"EM",3.91411688718752,6.09057309753121,0.772283485916113,1.01280352522004,0.447247251951511,0.552752748048489,0.0195920467376709
15,"MCMC",4.190605605,5.8915990925,0.961713859,1.18186948525,0.4526530815875,0.5473469184625,8.76032304763794
16,"EM",3.7841799038925,5.93638789417443,0.840538639955654,0.983461832126675,0.394845053903111,0.605154946096889,0.0581800937652588
16,"MCMC",4.26950570375,5.879408795,1.122653099625,1.098384818,0.497148740025,0.5028512599,9.41067504882812
17,"EM",4.58577070521123,6.42478407092186,1.40885500388057,0.385973323562293,0.903996558343859,0.0960034416561412,0.0144131183624268
17,"MCMC",4.0804239625,5.52445533875,1.233411628,1.180810671,0.5222616306425,0.4777383679775,10.6971209049225
18,"EM",4.76433008758182,6.62248941703452,1.01187025680253,0.533524466599322,0.727279331018701,0.272720668981299,0.0761611461639404
18,"MCMC",4.57798891375,6.080356125,1.016417330375,0.872818611,0.534802190325,0.4651978102375,9.75571894645691
19,"EM",3.28560853475918,5.40947829298889,0.600353243537569,1.00826352641193,0.235735825243518,0.764264174756482,0.00766611099243164
19,"MCMC",4.09284939,5.47160463875,1.0379332265,1.05650255325,0.4500440160025,0.54995598337875,11.0484888553619
20,"EM",4.0170113450454,6.22347216271542,0.976788486653101,0.699263725646284,0.561683767455876,0.438316232544124,0.0198211669921875
20,"MCMC",4.0907703,6.023279705,1.076832841,0.868546540625,0.540846823125,0.4591531768375,8.52338314056396
21,"EM",5.00684395353486,5.60818037671878,1.54192313189419,0.213899983821499,0.876595238167714,0.123404761832286,0.00731110572814941
21,"MCMC",4.14405414,5.66997293625,1.239652286125,1.1681454415,0.45266008163125,0.54733991616,9.52701783180237
22,"EM",4.04048530917784,5.70102316491163,1.05619650939919,1.0981957437139,0.617759454814306,0.382240545185694,0.150845050811768
22,"MCMC",4.1973318725,5.21422411625,1.134774355625,1.2777917765,0.49953537020375,0.50046463003,9.27130603790283
23,"EM",4.05362251393287,6.04294240816431,0.678324217634252,0.785927278627542,0.527924352605068,0.472075647394932,0.0333878993988037
23,"MCMC",4.12581149875,5.85790932625,0.784130016125,0.9278701125,0.49470736905,0.5052926314375,8.13475799560547
24,"EM",4.34877600097547,6.47382201603894,1.09399885058388,0.624186069500744,0.7000971823676,0.2999028176324,0.0704610347747803
24,"MCMC",4.07815824875,6.00481418125,1.030096909125,0.9119426805,0.52930846696,0.4706915331125,8.76609492301941
25,"EM",3.45905324354417,5.62195576489232,0.564009720501789,1.0470631767632,0.288581219403045,0.711418780596955,0.014721155166626
25,"MCMC",3.95815872875,5.64792484375,0.907045933875,1.101482781875,0.4146465817375,0.5853534181425,10.9395709037781
26,"EM",4.91739754314595,7.12741827494613,1.34691555384125,0.511045766365233,0.857656805282408,0.142343194717592,0.0684149265289307
