"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
1,"EM",1.9940209449397,6.13071282638876,1.03932852669316,0.935204607706558,0.538834212552646,0.461165787447354,0.0122358798980713
1,"MCMC",2.00022814125,6.12955910125,1.047713735875,0.94067629375,0.539059572375,0.460940427625,13.7664709091187
2,"EM",1.93417900314629,5.98295945979945,1.00560699331072,1.04659659358483,0.484148797885706,0.515851202114294,0.0218179225921631
2,"MCMC",1.9405866625,5.97862004875,1.015571606375,1.05473182575,0.484198942625,0.515801057375,13.1177189350128
3,"EM",2.01432081422837,6.01066927772034,1.07459391251806,1.01276839177308,0.498946315813924,0.501053684186076,0.00683999061584473
3,"MCMC",2.02054732625,6.00714426625,1.084251628375,1.02000248175,0.499228236,0.500771764,13.2124359607697
4,"EM",2.0479032843966,6.11293616124451,0.931746818306447,0.929715073766395,0.528342124432818,0.471657875567182,0.00978589057922363
4,"MCMC",2.04688143625,6.1056464,0.93569899125,0.941573987,0.527095968625,0.472904031375,12.1442918777466
5,"EM",2.06028311657466,6.00046297377929,1.03173242512118,0.965433886739883,0.502924669238747,0.497075330761253,0.0134499073028564
5,"MCMC",2.066228865,5.99741197375,1.040546990875,0.972914470875,0.503015792875,0.496984207125,12.9697759151459
6,"EM",1.95916452311849,5.98912501129235,0.973085961717569,1.0239024344823,0.527044617497639,0.472955382502362,0.00641989707946777
6,"MCMC",1.960514775,5.98227615,0.978084781875,1.033894840375,0.526487530125,0.473512469875,12.0026321411133
7,"EM",3.92558318618402,3.97343692588235,2.22954197063585,2.23258719254173,0.000153610173317506,0.999846389826683,0.0027778148651123
7,"MCMC",1.94926672,5.9659218125,0.878049798,1.060942799625,0.4963614695,0.5036385305,11.8777098655701
8,"EM",1.98167803957227,5.93463026747007,0.92652969668492,0.983001681726332,0.462819196868523,0.537180803131477,0.00612592697143555
8,"MCMC",1.98822486,5.93393207875,0.93656912625,0.988953416125,0.46389452825,0.53610547175,12.6557519435883
9,"EM",1.95158918776278,5.90820490615917,0.981135115127541,0.973993580313995,0.530595416337771,0.46940458366223,0.00746703147888184
9,"MCMC",1.95274060875,5.90422601875,0.98784634675,0.983134796875,0.529992574875,0.470007425125,12.4934768676758
10,"EM",1.83604720177803,5.92905144751689,0.891725461303936,0.981365814445214,0.494828201317941,0.505171798682059,0.00671911239624023
10,"MCMC",1.837222775,5.9257007875,0.898623614125,0.988244375375,0.494314996375,0.505685003625,12.455305814743
11,"EM",2.11429001046158,5.99342000662449,1.06024810335607,1.06076844966603,0.501710059395161,0.498289940604839,0.0117781162261963
11,"MCMC",2.12506423,5.99172623625,1.071712683,1.066476675875,0.502482613125,0.497517386875,13.8096249103546
12,"EM",1.95562284309898,5.85385882227642,0.912601394370348,1.07015989262236,0.478051220535908,0.521948779464092,0.00860190391540527
12,"MCMC",1.960158205,5.85061517625,0.922427250625,1.07744280125,0.478457868,0.521542132,12.9210541248322
13,"EM",1.974491264398,5.97858006825759,0.952610810514409,0.986905119766216,0.513545823050415,0.486454176949585,0.00628519058227539
13,"MCMC",1.97723454,5.97259238125,0.95965303575,0.9956872255,0.513319610125,0.486680389875,12.3440680503845
14,"EM",1.91656212684511,5.91836437258693,0.900361392385629,1.07431835332852,0.464230460479686,0.535769539520313,0.00534892082214355
14,"MCMC",1.92175469625,5.91632554125,0.909949970375,1.080477402125,0.465114953,0.534885047,13.0188829898834
15,"EM",2.03587222350072,6.11938258121304,1.08060445950182,0.985595172696394,0.475230215950057,0.524769784049943,0.0100228786468506
15,"MCMC",2.04057411125,6.1153705475,1.08858412925,0.994356082375,0.475819150375,0.524180849625,13.7134900093079
16,"EM",1.9570887905297,5.90587639443493,0.976232208389007,1.03325889262379,0.49460010932296,0.50539989067704,0.009552001953125
16,"MCMC",1.96112947625,5.9021120425,0.984947271,1.04163606525,0.494565568875,0.505434431125,12.6582260131836
17,"EM",2.10178641393923,6.07881676728937,1.08974459078407,0.916296538521293,0.511855910819473,0.488144089180527,0.0092320442199707
17,"MCMC",2.1086717275,6.07602565625,1.09959894325,0.925338469125,0.512201040375,0.487798959625,13.5656659603119
18,"EM",2.06192971233126,5.98209869886819,0.971331533478645,1.01177342251408,0.543478258075741,0.456521741924259,0.00749015808105469
18,"MCMC",2.06253386375,5.975007705,0.977149893375,1.02341102875,0.542483262625,0.457516737375,11.7094187736511
19,"EM",2.03924339544395,5.91921392033588,1.0128666278041,0.906408473862348,0.524692289639334,0.475307710360666,0.00676798820495605
19,"MCMC",2.04272624375,5.91296781375,1.018704821125,0.915870248125,0.524041109375,0.475958890625,13.5855419635773
20,"EM",1.84937668205905,5.94711916030965,0.961915491972722,0.990099496536738,0.459570486160304,0.540429513839696,0.00936794281005859
20,"MCMC",1.8528784,5.94268334125,0.969347774625,0.9973088685,0.459773778,0.540226222,13.1677000522614
21,"EM",1.96284836039264,6.02623598636234,1.01236574177519,0.909425487504584,0.520546590422965,0.479453409577035,0.00879597663879395
21,"MCMC",1.9643832775,6.0215791975,1.01796704325,0.918562990625,0.520291536625,0.479708463375,12.4442818164825
22,"EM",1.98586373154677,5.84079044387047,0.935575852943432,1.02808745201558,0.493189581660747,0.506810418339254,0.00837397575378418
22,"MCMC",1.9862900225,5.834335375,0.94200386325,1.037945561125,0.492081470375,0.507918529625,13.0501251220703
23,"EM",1.95413568382413,5.98573787372529,0.923614211928374,0.999598458941943,0.490528556395799,0.509471443604201,0.00634407997131348
23,"MCMC",1.9592763325,5.98434401875,0.932354049875,1.005879922125,0.49076143025,0.50923856975,12.2897670269012
24,"EM",2.01420134176688,6.00509014287993,1.05989706016059,0.945304108822534,0.508816415565019,0.491183584434981,0.0075840950012207
