"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
1,"EM",4.11047577171934,6.42355118150707,1.03811969435527,0.739684626867473,0.63198488446201,0.36801511553799,0.164427042007446
1,"MCMC",4.11578151875,6.3877062425,1.054776873125,0.7715013285,0.62710603175,0.3728939683125,22.0945219993591
2,"EM",3.53549943374318,5.70536676209179,0.808295666063727,1.12200884838419,0.325649627753915,0.674350372246085,0.259370088577271
2,"MCMC",3.7668633025,5.88894202125,0.915488485625,1.064386286625,0.4207233008625,0.5792766993375,30.8026230335236
3,"EM",4.40867977284993,6.55855761689764,1.1867526746984,0.779461672582391,0.726484257289681,0.273515742710319,0.0864109992980957
3,"MCMC",4.29848704,6.34748702125,1.163473350125,0.88526558475,0.655932831675,0.34406716865,26.6857559680939
4,"EM",4.99552416864405,5.82240289476765,1.39792572276788,0.0113031307726506,0.983452243219954,0.016547756780046,0.0491950511932373
4,"MCMC",3.82079271625,5.95916713125,0.78850548275,0.974970785375,0.443089027125,0.556910972875,19.3563539981842
5,"EM",4.51550004139729,6.3856734822047,1.1895743007103,0.862445075451651,0.739406817569376,0.260593182430624,0.30169415473938
5,"MCMC",4.34971030375,5.872345015,1.181073496125,1.068398385375,0.5656407360125,0.4343592629375,43.6805839538574
6,"EM",3.88790077896994,5.81023601373484,0.976824149236432,1.12174172514484,0.45625835397358,0.54374164602642,0.247650146484375
6,"MCMC",4.053161345,5.7165126425,1.0606777605,1.18020106525,0.4617456828875,0.53825431704125,34.1270978450775
7,"EM",3.90345986255924,5.04167236021755,0.0631620536075125,1.41188568708667,0.0423845713904512,0.957615428609549,0.0240488052368164
7,"MCMC",4.2091113325,6.14628245375,1.002506137,1.0246715505,0.5771651364625,0.4228348638125,28.3458049297333
8,"EM",3.58181683280926,5.64095686004666,0.766500330081958,1.0706421760581,0.285472331538401,0.714527668461599,0.254048109054565
8,"MCMC",3.850984455,5.80851426625,0.893440441625,1.022555171875,0.3930972875625,0.6069027127625,36.4352970123291
9,"EM",3.50283275384,5.37907355296638,0.865659007160105,1.17383005395862,0.267674915837548,0.732325084162452,0.50145697593689
9,"MCMC",4.01003580625,5.444598115,1.06675792725,1.194413278625,0.4189896550925,0.58101034580125,62.0938289165497
10,"EM",3.7163455096331,5.82504784392645,0.850982154331946,1.01664973773074,0.431226649525752,0.568773350474248,0.129168033599854
10,"MCMC",3.7712861925,5.8280793125,0.890729099,1.03505035125,0.442177550325,0.55782244945,25.6522688865662
11,"EM",3.8943721367022,5.85029802459418,0.942671343164731,1.0887245706819,0.420811265253937,0.579188734746063,0.227786779403687
11,"MCMC",3.94895854625,5.7494584725,0.964107331125,1.15915602325,0.40710182795,0.5928981731125,37.981419801712
12,"EM",3.96764884495466,5.95997080200422,0.89343054299722,0.98053317223264,0.49272522486305,0.50727477513695,0.132487773895264
12,"MCMC",3.99090211125,5.86231197125,0.919947866875,1.04913684575,0.4669072528125,0.5330927470375,28.4702799320221
13,"EM",3.97177911514111,5.91992586528779,0.97645985830658,1.02335779190033,0.491559732728651,0.508440267271349,0.154054880142212
13,"MCMC",4.0457251725,5.69189104125,0.990800483,1.153443594625,0.4375387620375,0.562461238275,39.7606060504913
14,"EM",4.31684300588363,6.50309136014214,1.05072080891808,0.812629099872798,0.678096134128906,0.321903865871094,0.0742800235748291
14,"MCMC",4.2545118725,6.34437093125,1.0444149715,0.8979773575,0.6274537819,0.3725462178875,26.4322209358215
15,"EM",4.0607354278126,6.21508315419026,1.05181522490779,0.926052732030764,0.514452442167272,0.485547557832728,0.183366060256958
15,"MCMC",4.131696475,6.21024988375,1.101545699375,0.936766637375,0.536762749375,0.4632372508,35.3580441474915
16,"EM",4.06609162544631,6.02139843627554,1.01470038580552,0.980219449862751,0.54243903288815,0.45756096711185,0.235992908477783
16,"MCMC",4.07257861,5.90746328625,1.043650487375,1.047366626625,0.51205901425,0.487940986185,46.5796308517456
17,"EM",4.94697845251391,6.41977507207341,1.40326355626114,0.295990575409877,0.929269645650475,0.0707303543495252,0.0297019481658936
17,"MCMC",4.35376919125,6.19794562375,1.19242119475,0.875117060375,0.6242005845625,0.3757994153375,29.134211063385
18,"EM",4.90548533470285,6.5487223739243,1.37086608739976,0.0588782657088269,0.976822830919618,0.0231771690803816,0.0154149532318115
18,"MCMC",4.0741402,5.711619495,1.0171264065,1.154013375875,0.46187962245,0.5381203773125,40.0933730602264
19,"EM",4.15194403816121,6.04060597836448,1.05089510477544,0.861801537069028,0.591522354371275,0.408477645628725,0.0938889980316162
19,"MCMC",4.18796998,5.89833431875,1.102806208125,0.936548760875,0.57473184877,0.4252681514875,33.7765958309174
20,"EM",3.51794586776866,5.77781226584021,0.77618079858479,1.03292927808292,0.340681913741419,0.659318086258581,0.053231954574585
20,"MCMC",3.5813028375,5.7970510375,0.82318298375,1.036748925,0.3579550488125,0.642044951125,22.6640868186951
21,"EM",3.59593102557164,5.72355614925797,0.850177553463696,1.03144631126151,0.374360973958976,0.625639026041024,0.102607011795044
21,"MCMC",3.73259346,5.788582415,0.9273784325,1.026954636375,0.422499925125,0.577500074725,29.675390958786
22,"EM",3.10988506700809,5.11630921061654,0.261861569675091,1.28206747704976,0.0761156597707003,0.9238843402293,0.30084490776062
22,"MCMC",3.649522165,5.531185695,0.772370134,1.11429599525,0.306294726425,0.6937052741125,31.5028171539307
23,"EM",3.93930797704363,6.06359844527412,0.879989830505066,0.9248648489855,0.50251107497527,0.49748892502473,0.0401320457458496
23,"MCMC",3.9458609425,5.987330675,0.898146704375,0.9845790605,0.48184600445,0.5181539953375,23.2542490959167
24,"EM",4.11994698756069,5.99711216186552,1.11665603043919,0.994344348347416,0.54694471640305,0.45305528359695,0.244839191436768
24,"MCMC",4.1987653375,5.81162662625,1.18358589275,1.081700470875,0.530094648625,0.46990535235,41.5673801898956
25,"EM",3.83597976302316,5.85125087984505,0.92556101819326,1.07953877500074,0.382629483421041,0.617370516578959,0.104460000991821
25,"MCMC",4.10165041375,5.86304694125,1.0585115215,1.095427447,0.45393620687875,0.5460637928625,31.9182300567627
26,"EM",4.39583035556326,6.145159351834,1.20401554648483,0.922311767867987,0.664875259830311,0.335124740169689,0.234464168548584
26,"MCMC",4.32019539375,5.79718352625,1.22154371925,1.058432469625,0.55608304335375,0.4439169548875,38.2052299976349
27,"EM",4.54733330618056,6.33758147584037,1.2019703202334,0.793931119816919,0.761187559363733,0.238812440636267,0.226115942001343
27,"MCMC",4.34930952,5.8912054,1.18241394325,0.98108686225,0.590809929,0.40919007123875,35.9757499694824
28,"EM",3.89915657866951,6.0773305757229,0.974845780942067,0.843788291145355,0.510894222287125,0.489105777712875,0.0513401031494141
28,"MCMC",3.96086802625,6.0775007325,1.020035174375,0.861277667375,0.52809421275,0.47190578725,23.0285470485687
29,"EM",3.33619126962929,5.62701215902852,0.742787353914976,1.1126350465949,0.299107135162549,0.700892864837451,0.0459110736846924
29,"MCMC",3.47246187,5.70981648375,0.82050092,1.08754449375,0.3457871454125,0.654212854625,24.4872858524323
