"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
1,"EM",2.01184843448647,5.66308801842003,0.905313330465476,1.02540102029696,0.503070657128281,0.496929342871718,0.00545001029968262
1,"MCMC",2.03237034375,5.629304905,0.95080329575,1.07505013075,0.501568228875,0.498431771125,5.2086009979248
2,"EM",2.07913978498105,6.06036019396616,1.06482688459611,0.835936087939169,0.588392189199616,0.411607810800384,0.0124750137329102
2,"MCMC",2.093723345,6.033186965,1.09467013575,0.8898079725,0.583952756875,0.416047243125,5.13409805297852
3,"EM",1.87359824788589,5.78818454862037,0.925585474818384,0.919344052551822,0.501542613856696,0.498457386143305,0.00502514839172363
3,"MCMC",1.88963449375,5.771991805,0.959730009625,0.952361713,0.501050723625,0.498949276375,5.09390711784363
4,"EM",2.04439465785603,5.89046388197414,0.904469916067869,0.803896655140908,0.482591887838514,0.517408112161486,0.00204086303710938
4,"MCMC",2.0561954325,5.8791768825,0.939842111625,0.841964875125,0.482677139,0.517322861,5.11338806152344
5,"EM",2.18810526916448,6.04420464556307,1.03834498169702,1.12572628208849,0.493441881700825,0.506558118299175,0.00503110885620117
5,"MCMC",2.21221495125,5.98509826875,1.08810596125,1.19521219425,0.488519552625,0.511480447375,5.11054110527039
6,"EM",2.13030246210421,5.70531942341615,1.18736314571494,0.979388364637467,0.607862929754575,0.392137070245425,0.00684595108032227
6,"MCMC",2.119110947,5.57300040375,1.215876752875,1.103834777125,0.5856813459,0.4143186541,5.23805403709412
7,"EM",2.41057088600567,5.88950007922149,0.966757254092762,0.763181875537548,0.564557540503548,0.435442459496452,0.00314688682556152
7,"MCMC",2.4187372325,5.85697758,1.002184435125,0.824367396125,0.559649999875,0.440350000125,5.06851291656494
8,"EM",2.01744622519532,6.44332793694014,1.16307135009791,0.731541810085335,0.490228630042064,0.509771369957936,0.00211501121520996
8,"MCMC",2.037314355,6.4255155675,1.19152597525,0.77470246,0.4892901565,0.5107098435,5.5951509475708
9,"EM",1.92033089544582,5.9284820979609,1.00193635965056,0.724944913214583,0.511963151859981,0.488036848140019,0.00161600112915039
9,"MCMC",1.9393528425,5.92231802875,1.040180971875,0.756851513375,0.513319974125,0.486680025875,5.20526385307312
10,"EM",1.90197118880859,5.60424586459555,0.924504281234918,1.19753450105178,0.414346063712504,0.585653936287496,0.00600695610046387
10,"MCMC",2.007284455,5.62573465375,1.029419423375,1.214745983625,0.432436045575,0.567563954375,5.36195397377014
11,"EM",1.81671366873477,5.77917307812909,0.778829440116519,0.949574419024563,0.460955571379843,0.539044428620157,0.0020139217376709
11,"MCMC",1.83359932375,5.76929627125,0.82144649875,0.980531809125,0.463049329125,0.536950670875,4.87216782569885
12,"EM",1.84847505506333,5.99035286550606,0.933489835563959,1.02103996137192,0.498128418507642,0.501871581492358,0.00368118286132812
12,"MCMC",1.8673929375,5.9728080375,0.974498022625,1.0564936295,0.4986541675,0.5013458325,5.31968688964844
13,"EM",1.93682843337776,5.74622766164254,0.878425503469296,0.940321323350605,0.48773770751828,0.51226229248172,0.00261688232421875
13,"MCMC",1.95554665875,5.73521396625,0.923035034625,0.975167077875,0.488496974125,0.511503025875,4.93129897117615
14,"EM",1.89324035470643,6.1673057278832,1.0696737747456,0.997415499819198,0.506828638834738,0.493171361165262,0.00420379638671875
14,"MCMC",1.9656117425,6.18120789125,1.143295045625,1.009765505375,0.5161973205,0.4838026795,5.2222318649292
15,"EM",1.85430352004868,5.97618166047606,0.710172838250613,1.04969472414788,0.446160208300576,0.553839791699424,0.00169110298156738
15,"MCMC",1.86122250125,5.95800123875,0.745348183,1.084081353625,0.44617039025,0.55382960975,4.78791403770447
16,"EM",1.88356864722262,5.98901413748789,0.897012696854888,0.998156528986113,0.443902497099518,0.556097502900482,0.00328898429870605
16,"MCMC",1.8984486,5.9687146325,0.934416232875,1.036938800875,0.445115206,0.554884794,4.87261891365051
17,"EM",1.99119721648735,6.07522868167002,1.12631425325018,0.908459112770886,0.625093799607195,0.374906200392805,0.00364494323730469
17,"MCMC",1.96675821125,5.98990188875,1.1250778495,1.002326332625,0.60883758725,0.39116241275,4.90903306007385
18,"EM",2.3634415464418,6.08494102029632,0.83000137126189,0.815659399741398,0.433655876948463,0.566344123051537,0.0021979808807373
18,"MCMC",2.3935145575,6.0835228425,0.886673620625,0.84144984525,0.438933731125,0.561066268875,5.12630486488342
19,"EM",2.05330839097463,5.86963248108086,0.97692435620737,0.851163585590495,0.519039942752051,0.480960057247949,0.00286412239074707
19,"MCMC",2.05956866875,5.834184035,1.009997269,0.912015044375,0.515129595125,0.484870404875,4.94946002960205
20,"EM",1.92222416328239,6.05359653544301,0.991097119463745,0.810291966651711,0.486389205248959,0.513610794751041,0.00348496437072754
20,"MCMC",1.93978774375,6.0389447875,1.02506962,0.84704493525,0.485819056125,0.514180943875,5.58340191841125
21,"EM",1.8534471516587,5.84304342213802,1.13122276799412,1.11369338598158,0.401543191362726,0.598456808637274,0.00708198547363281
21,"MCMC",1.943402634375,5.8378381275,1.2203163715,1.14546696025,0.414528582875,0.585471417125,5.74989104270935
22,"EM",1.76426067634124,5.66521942127998,0.886412862122875,1.02981259947007,0.540927249034956,0.459072750965044,0.00338506698608398
22,"MCMC",1.77959010875,5.6340190025,0.92678037025,1.0796921405,0.5376993305,0.4623006695,4.75355219841003
23,"EM",2.04241492010186,5.82000264210699,0.698925077226129,0.96281226630084,0.483714181902824,0.516285818097176,0.00350403785705566
