"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
1,"EM",2.06559597755288,6.32427195164174,1.04601274633983,0.790983761368164,0.873170870427109,0.126829129572891,0.0176408290863037
1,"MCMC",2.1052057675,4.2201698475,1.837351203125,0.832760641125,0.638835378875,0.361164620875,15.574686050415
2,"EM",1.98785206725434,5.89153797810987,1.01353460037859,1.10206873254517,0.833261451814378,0.166738548185622,0.0168070793151855
2,"MCMC",1.96830467875,5.745234875,1.003948781625,1.20348767675,0.818911569875,0.1810884301625,14.7053790092468
3,"EM",1.98986107644681,5.86682161279191,1.06984848112536,0.940994789205751,0.852759613357243,0.147240386642757,0.0249707698822021
3,"MCMC",2.03487659125,4.89376518125,1.376238761625,0.957743897625,0.76544711225,0.234552887825,15.1866397857666
4,"EM",2.05227793874442,6.17037192420648,0.963387193022021,0.8317730258699,0.861846549595247,0.138153450404753,0.0376701354980469
4,"MCMC",2.06531342,5.136248385,1.401953697625,0.8553321925,0.736176371375,0.2638236286625,13.2088470458984
5,"EM",1.98007468393962,6.03179787820504,0.986730135604069,1.02948511921385,0.86603812568167,0.13396187431833,0.00755596160888672
5,"MCMC",2.0409250125,4.046981605,1.795268592625,0.94511235275,0.62674496025,0.3732550399625,14.8341867923737
6,"EM",1.96837237354205,5.80547075020909,0.960861639984054,1.07342092694661,0.835087996481362,0.164912003518638,0.011322021484375
6,"MCMC",2.0023861025,4.8220165875,1.35715332475,1.0557450865,0.72886810525,0.27113189475,14.0035519599915
7,"EM",1.98583117388658,5.86901325404427,0.949115844534744,1.02773253028539,0.826019130447321,0.173980869552679,0.0101161003112793
7,"MCMC",2.0148050675,4.88256944625,1.360941469375,1.005679525625,0.7252954655,0.2747045345,14.8456499576569
8,"EM",1.99824581434294,5.93868776894849,0.945934397440717,1.0630435920426,0.832790188336,0.167209811663999,0.0201230049133301
8,"MCMC",2.02069465,4.916943815,1.3827426755,1.061234598625,0.718571972625,0.281428027325,15.333349943161
